Ticker,Vencimento,Dias úteis,F.M. ,Mod.,Strike,A/I/OTM,Dist. (%) do Strike,Último,Var. (%),Data/Hora,Núm. de Neg.,Vol. Financeiro,Vol. Impl. (%),Delta,Gamma,Theta ($),Theta (%),Vega,IQ,Coberto,Travado,Descob.,Tit.,Lanç.
PETRG51,18/07/2025,33,,E,46.55,OTM,"+50,65",1,0,28/05/2025,2,"32,000",399,96,54,-18,"-1,848","3,115",422,1,311.3,96.8,38,9
PETRF426,20/06/2025,13,,A,39.26,OTM,"+27,06",1,0,30/05/2025,1,100,400,144,120,-40,"-3,975","2,790",229,28,177.7,1.184.600,39,17
PETRF375W2,13/06/2025,9,,A,37.5,OTM,"+21,36",1,0,30/05/2025,2,"2,000",401,120,126,-41,"-4,100","1,935",300,0,0,20.1,3,1
PETRF45,20/06/2025,13,,E,44.51,OTM,"+44,05",2,"+100,00",20/05/2025,1,200,401,108,67,-24,"-1,179","3,022",186,0,51.4,116.5,13,7
PETRG490,18/07/2025,33,,A,48.3,OTM,"+56,31",1,,21/05/2025,12,"18,100",401,91,48,-17,"-1,701","3,148",100,0,0,9,1,1
PETRG268,18/07/2025,33,,A,22.3,ITM,"-2,783",930,-462,30/05/2025,3,"78.020,00",403,"10,000",0,-128,-14,2,60,0,14.9,5.7,3,5
PETRG495,18/07/2025,33,,A,48.8,OTM,"+57,93",1,0,26/05/2025,2,"1,000",404,90,47,-17,"-1,701","3,131",83,0,35.5,120.6,5,6
PETRF458,20/06/2025,13,,A,45.26,OTM,"+46,47",1,0,28/04/2025,1,300,405,98,55,-18,"-1,839","3,065",100,0,75,200,2,2
PETRF268,20/06/2025,13,,A,26.26,ITM,"-1,502",503,-838,30/05/2025,10,"37.670,00",405,"9,700",230,-219,-44,"4,978",35,1.1,33.3,33.2,8,23
PETRF421,20/06/2025,13,,A,38.76,OTM,"+25,44",1,0,30/05/2025,84,"2.036,00",409,147,124,-42,"-4,223","2,716",182,317.8,1.050.100,1.110.900,40,22
PETRF25,20/06/2025,13,,E,24.51,ITM,"-2,068",675,-316,30/05/2025,2,"1.350,00",410,"9,950",48,-157,-23,"1,063",33,1.8,36.5,51.6,5,15
PETRF497,20/06/2025,13,,E,49.01,OTM,"+58,61",1,,17/04/2025,1,100,411,62,34,-12,"-1,200","2,214",100,0,100,0,1,1
PETRF280W1,06/06/2025,4,,A,28,ITM,-939,319,-506,30/05/2025,1,"31,900",413,"9,679",399,-287,-90,"3,147",100,0,43.6,1.8,5,5
PETRF263,20/06/2025,13,,A,25.76,ITM,"-1,663",578,-478,29/05/2025,2,"12.716,00",416,"9,788",167,-201,-35,"3,719",54,6.7,8.6,14.3,7,13
PETRG530,18/07/2025,33,,E,53.05,OTM,"+71,68",1,,12/05/2025,1,100,422,57,28,-11,"-1,100","2,239",100,0,100,0,1,1
PETRG500,18/07/2025,33,,E,50.05,OTM,"+61,97",1,"-5,000",20/05/2025,1,"1.000,00",428,110,51,-21,"-2,130","3,796",100,0,100,100,2,2
PETRF259,20/06/2025,13,,A,25.26,ITM,"-1,825",626,"+0,81",26/05/2025,1,"23.162,00",434,"9,840",126,-189,-30,"2,933",41,8.5,20.2,46.2,7,17
PETRF275W1,06/06/2025,4,,A,27.5,ITM,"-1,100",367,-317,30/05/2025,1,"36,700",437,"9,796",258,-251,-68,"2,151",50,0,1.9,1,2,4
PETRF492,20/06/2025,13,,E,48.51,OTM,"+56,99",2,,17/04/2025,1,200,437,111,53,-21,"-1,050","3,699",100,0,100,0,1,1
PETRF434,20/06/2025,13,,E,40.01,OTM,"+29,48",1,0,30/05/2025,1,"1,000",438,9,13,-2,-200,258,111,163.2,809.5,145.6,20,18
PETRG20,18/07/2025,33,,E,20.55,ITM,"-3,350","1,094",-144,30/05/2025,31,"820.530,00",445,"10,000",0,-118,-11,0,43,0,45.7,96.3,3,7
PETRF507,20/06/2025,13,,A,50.01,OTM,"+61,84",1,0,25/04/2025,8,"22,500",467,59,30,-13,"-1,300","1,992",50,1,500,11.5,2,4
PETRF237,20/06/2025,13,,E,23.01,ITM,"-2,553",825,-294,30/05/2025,1,"82,500",468,"10,000",0,-134,-16,0,31,100,84.6,43.5,4,13
PETRF249,20/06/2025,13,,A,24.26,ITM,"-2,149",701,-223,30/05/2025,2,"35.050,00",476,"10,000",0,-141,-20,0,50,2.5,40,95.3,5,10
